0.229753, 0.000000
0.228323, 0.091640
0.224025, 0.183717
0.216969, 0.276483
0.207808, 0.369893
0.198300, 0.463669
0.191662, 0.557330
0.192255, 0.649631
0.204154, 0.737396
0.228516, 0.815533
0.262206, 0.879857
0.300199, 0.929657
0.338636, 0.966872
0.375532, 0.994077
0.410149, 1.013445
0.442347, 1.026559
0.472218, 1.034522
0.499914, 1.038096
0.525580, 1.037808
0.549328, 1.034015
0.571234, 1.026944
0.591339, 1.016721
0.609641, 1.003382
0.626091, 0.986882
0.640580, 0.967099
0.652919, 0.943822
0.662819, 0.916739
0.669837, 0.885422
0.673298, 0.849315
0.672145, 0.807760
0.664698, 0.760116
0.648382, 0.706130
0.619716, 0.646760
0.575355, 0.585208
0.514575, 0.526610
0.440723, 0.474965
0.359028, 0.430488
0.273794, 0.390561
0.187814, 0.352094
0.102791, 0.312924
0.019575, 0.272005
-0.061676, 0.228954
-0.141231, 0.183573
-0.219490, 0.135636
-0.296795, 0.084947
-0.373399, 0.031629
-0.449662, -0.023420
-0.526413, -0.078102
-0.604944, -0.128916
-0.685976, -0.171089
-0.767796, -0.199687
-0.845745, -0.212369
-0.915009, -0.211173
-0.973496, -0.200518
-1.021630, -0.184352
-1.060833, -0.165212
-1.092576, -0.144499
-1.118061, -0.122947
-1.138192, -0.100935
-1.153633, -0.078667
-1.164851, -0.056258
-1.172166, -0.033777
-1.175777, -0.011262
-1.175777, 0.011262
-1.172166, 0.033777
-1.164851, 0.056258
-1.153633, 0.078667
-1.138192, 0.100935
-1.118061, 0.122947
-1.092576, 0.144499
-1.060833, 0.165212
-1.021630, 0.184352
-0.973496, 0.200518
-0.915009, 0.211173
-0.845745, 0.212369
-0.767796, 0.199687
-0.685976, 0.171089
-0.604944, 0.128916
-0.526413, 0.078102
-0.449662, 0.023420
-0.373399, -0.031629
-0.296795, -0.084947
-0.219490, -0.135636
-0.141231, -0.183573
-0.061676, -0.228954
0.019575, -0.272005
0.102791, -0.312924
0.187814, -0.352094
0.273794, -0.390561
0.359028, -0.430488
0.440723, -0.474965
0.514575, -0.526610
0.575355, -0.585208
0.619716, -0.646760
0.648382, -0.706130
0.664698, -0.760116
0.672145, -0.807760
0.673298, -0.849315
0.669837, -0.885422
0.662819, -0.916739
0.652919, -0.943822
0.640580, -0.967099
0.626091, -0.986882
0.609641, -1.003382
0.591339, -1.016721
0.571234, -1.026944
0.549328, -1.034015
0.525580, -1.037808
0.499914, -1.038096
0.472218, -1.034522
0.442347, -1.026559
0.410149, -1.013445
0.375532, -0.994077
0.338636, -0.966872
0.300199, -0.929657
0.262206, -0.879857
0.228516, -0.815533
0.204154, -0.737396
0.192255, -0.649631
0.191662, -0.557330
0.198300, -0.463669
0.207808, -0.369893
0.216969, -0.276483
0.224025, -0.183717
0.228323, -0.091640
0.229753, 0.000000
